时间,价格,数量,买卖方向
9:15:00,9.93,8,2S
9:15:00,9.97,8,2S
9:15:00,10.01,8,2S
9:15:00,10.05,8,2S
9:15:00,10.09,8,2S
9:15:00,9.49,7,2S
9:15:00,9.56,7,2S
9:15:00,9.63,7,2S
9:15:00,9.7,7,2S
9:15:00,9.84,7,2S
9:15:00,9.91,7,2S
9:15:00,9.25,20,2S
9:15:00,9.29,50,2S
9:15:00,9.35,50,2S
9:15:00,8.92,3,2B
9:15:00,10.12,35.2,2S
9:15:00,9.8,10,2S
9:15:00,9.35,19,2S
9:15:00,9.28,22,2S
9:15:00,8.9,4,2B
9:15:00,8.3,20,2B
9:15:00,10.1,48,2S
9:15:00,9.38,16,2S
9:15:00,9.8,1,2S
9:15:00,9.25,9,2S
9:15:00,10.01,6,2S
9:15:00,9.66,13,2S
9:15:00,9.24,5,2S
9:15:00,9.49,5,2S
9:15:00,9.34,4,2S
9:15:00,9.48,10,2S
9:15:00,9.28,14,2S
9:15:00,9.98,7,2S
9:15:00,10.1,50,2S
9:15:00,9.3,27,2S
9:15:00,9.27,27,2S
9:15:00,9.25,1,2S
9:15:00,9.25,1,2S
9:15:00,9.27,1,2S
9:15:00,9.09,40,2B
9:15:00,8.8,10,2B
9:15:00,8.88,10,2B
9:15:00,8.7,10,2B
9:15:00,9.26,3,2S
9:15:00,9.29,6,2S
9:15:00,9.39,9,2S
9:15:00,9.35,20,2S
9:15:00,9.3,10,2S
9:15:00,9.25,200,2S
9:15:00,9.89,30,2S
9:15:00,9.7,50,2S
9:15:00,9.22,3,2S
9:15:00,9.25,10,2S
9:15:00,9.7,50,2S
9:15:00,9.43,10,2S
9:15:00,9.29,760,2S
9:15:00,9.1,760,2B
9:15:00,9.25,5,2S
9:15:00,9.69,220,2S
9:15:00,9.69,230,2S
9:15:00,9.69,219,2S
9:15:00,9.79,218,2S
9:15:00,9.1,20,2B
9:15:00,9.79,225,2S
9:15:00,9.89,223,2S
9:15:00,9.25,2,2S
9:15:00,9.28,2,2S
9:15:00,9.3,2,2S
9:15:00,9.33,2,2S
9:15:00,9.35,2,2S
9:15:00,9.38,2,2S
9:15:00,9.4,2,2S
9:15:00,9.43,2,2S
9:15:00,9.45,2,2S
9:15:00,9.48,2,2S
9:15:00,9.5,2,2S
9:15:00,9.79,210.6,2S
9:15:00,9.06,5,2B
9:15:00,9.46,5,2S
9:15:00,10.12,3,2S
9:15:00,9.23,10,2S
9:15:00,9.29,1,2S
9:15:00,9.3,5,2S
9:15:00,9.31,1,2S
9:15:00,9.33,1,2S
9:15:00,9.35,1,2S
9:15:00,9.37,1,2S
9:15:00,9.39,1,2S
9:15:00,9.43,3,2S
9:15:00,9.22,50,2S
9:15:00,9.28,50,2S
9:15:00,9.33,50,2S
9:15:00,9.38,50,2S
9:15:00,9.34,10,2S
9:15:00,9.28,20,2S
9:15:00,9.29,30,2S
9:15:00,9.32,20,2S
9:15:00,9.35,30,2S
9:15:00,9.38,20,2S
9:15:00,9.48,20,2S
9:15:00,9.58,20,2S
9:15:00,9.68,20,2S
9:15:00,9.78,20,2S
9:15:00,9.88,20,2S
9:15:00,9.95,20,2S
9:15:00,9.55,20,2S
9:15:00,9.11,20,2B
9:15:00,9.34,17,2S
9:15:00,9.23,30,2S
9:15:00,9.34,13,2S
9:15:00,8.33,6,2B
9:15:00,9.83,4,2S
9:15:00,9.28,10,2S
9:15:00,9.22,10,2S
9:15:00,9.36,2,2S
9:15:00,9.38,6,2S
9:15:00,10,50,2S
9:15:00,9.29,10,2S
9:15:00,9.24,5,2S
9:15:00,8.46,1,2B
9:15:00,9.14,25,2B
9:15:00,9.15,11,2B
9:15:00,9.1,11,2B
9:15:00,9.43,8,2S
